Portfolio,ρ,Expected Value,VaR(90%),VaR(99.5%),ES(90%),ES(99.5%)
Portfolio I,0.0,1476.4882770000002,5.369999999999891,33.32999999999993,11.190424528301879,49.84055555555552
Portfolio I,0.33,1476.4700850000004,6.434999999999945,29.841825000000185,13.014481409001963,62.01119999999996
Portfolio I,0.66,1476.4806570000003,6.434999999999945,34.24500000000012,13.63719230769232,58.4477777777778
Portfolio I,1.0,1476.5475240000003,-1.4100000000000819,48.930000000000064,0.37344472204865065,63.2920588235295
Portfolio II,0.0,1322.7903270000002,41.90999999999963,261.7874999999997,97.41142561983435,271.4082446808509
Portfolio II,0.33,1322.4320685,41.90999999999963,275.19749999999976,104.89403225806419,337.0934090909089
Portfolio II,0.66,1322.5485525000001,41.90999999999963,410.16705000000127,114.21319067796581,423.50999999999976
Portfolio II,1.0,1323.217833,41.90999999999963,423.50999999999976,128.23712746858146,423.50999999999954
