Scenario,ρ,E[V1],Std(V1),Min(V1),Max(V1),Mean(Loss),Std(Loss),Min(Loss),Max(Loss)
"Portfolio I, ρ=0%",0.0,1476.4882770000002,5.4813167748517575,1376.7,1488.045,0.051722999999926515,5.4813167748517575,-11.50500000000011,99.83999999999992
"Portfolio I, ρ=100%",1.0,1476.5475240000003,7.255812751127505,1332.09,1491.015,-0.007524000000072919,7.255812751127506,-14.475000000000136,144.45000000000005
"Portfolio II, ρ=33%",0.33,1322.4320685,49.98709897566131,900.0,1418.9775,1.0779314999995788,49.987098975661304,-95.4675000000002,423.50999999999976
"Portfolio II, ρ=100%",1.0,1323.217833,59.18433045396488,900.0,1459.38,0.2921669999995647,59.1843304539649,-135.87000000000035,423.50999999999976
