maturity_years,cds_spread_bps,avg_hazard_q1_simple,avg_hazard_q2_exact,avg_hazard_gap_q2_minus_q1,avg_hazard_gap_abs,fwd_hazard_q2_exact,fwd_default_prob_q2_exact,survival_T_q2_exact,cum_default_prob_q2_exact,fwd_hazard_q1_simple,fwd_default_prob_q1_simple,survival_T_q1_simple,cum_default_prob_q1_simple
1,100,0.024999999999999998,0.02490679736383791,-9.320263616208885e-05,9.320263616208885e-05,0.02490679736383791,0.02459918228053204,0.975400817719468,0.02459918228053204,0.025000000000000053,0.024690087971667385,0.9753099120283326,0.024690087971667385
3,110,0.027499999999999997,0.02747187108204262,-2.812891795737557e-05,2.812891795737557e-05,0.028754407941144977,0.05451167229579579,0.9208891454236722,0.07911085457632783,0.028749999999999963,0.05449847417152809,0.9208114378568045,0.07918856214319547
5,120,0.03,0.030178715190581518,0.00017871519058151875,0.00017871519058151875,0.03423898135338987,0.060949933422968616,0.8599392120007036,0.14006078799929644,0.03374999999999997,0.06010346143174672,0.8607079764250578,0.1392920235749422
7,120,0.03,0.030095730635437707,9.573063543770813e-05,9.573063543770813e-05,0.029888269247578175,0.04989796828796533,0.8100412437127382,0.18995875628726178,0.029999999999999995,0.05012373045487073,0.8105842459701871,0.18941575402981292
10,125,0.03125,0.03160434129708227,0.0003543412970822696,0.0003543412970822696,0.0351244328409196,0.08101344349473849,0.7290278002179997,0.27097219978200027,0.03416666666666666,0.0789686170235453,0.7316156289466418,0.2683843710533582
