maturity_years,avg_hazard_delta,survival_T_delta,cum_default_prob_delta
1.0,-0.00021600780859737032,0.00021071695057373052,-0.00021071695057373052
3.0,-0.0001409028285871694,0.00038934994118078325,-0.00038934994118078325
5.0,0.00013215524090427408,-0.0005680396744064398,0.0005680396744064398
7.0,2.038215286249284e-05,-0.00011556444690108414,0.00011556444690108414
10.0,0.00046064839872554664,-0.0033505318774771364,0.0033505318774771364
