maturity_years,cds_spread_bps,cds_spread,avg_hazard,fwd_hazard,fwd_default_prob,survival_T,cum_default_prob
1.0,100.0,0.01,0.02469078955524054,0.02469078955524054,0.02438846532995831,0.9756115346700417,0.02438846532995831
3.0,110.0,0.011,0.02733096825345545,0.028651057602562906,0.054333039305188735,0.921278495364853,0.07872150463514704
5.0,120.0,0.012,0.03031087043148579,0.034780723698531295,0.06190732303855584,0.8593711723262971,0.14062882767370288
7.0,120.0,0.012,0.0301161127883002,0.029629218680336224,0.04944549306045998,0.8099256792658371,0.19007432073416286
10.0,125.0,0.0125,0.032064989695807816,0.03661236914665893,0.08424841092531454,0.7256772683405226,0.2743227316594774
