maturity_years,cds_spread_bps,avg_hazard_q1_simple,avg_hazard_q2_exact,avg_hazard_gap_q2_minus_q1,avg_hazard_gap_abs,fwd_hazard_q2_exact,fwd_default_prob_q2_exact,survival_T_q2_exact,cum_default_prob_q2_exact,fwd_hazard_q1_simple,fwd_default_prob_q1_simple,survival_T_q1_simple,cum_default_prob_q1_simple
1,100,0.024999999999999998,0.02469078955524054,-0.00030921044475945916,0.00030921044475945916,0.02469078955524054,0.02438846532995831,0.9756115346700417,0.02438846532995831,0.025000000000000053,0.024690087971667385,0.9753099120283326,0.024690087971667385
3,110,0.027499999999999997,0.02733096825345545,-0.00016903174654454498,0.00016903174654454498,0.028651057602562906,0.054333039305188735,0.921278495364853,0.07872150463514704,0.028749999999999963,0.05449847417152809,0.9208114378568045,0.07918856214319547
5,120,0.03,0.03031087043148579,0.0003108704314857928,0.0003108704314857928,0.034780723698531295,0.06190732303855584,0.8593711723262971,0.14062882767370288,0.03374999999999997,0.06010346143174672,0.8607079764250578,0.1392920235749422
7,120,0.03,0.0301161127883002,0.00011611278830020097,0.00011611278830020097,0.029629218680336224,0.04944549306045998,0.8099256792658371,0.19007432073416286,0.029999999999999995,0.05012373045487073,0.8105842459701871,0.18941575402981292
10,125,0.03125,0.032064989695807816,0.0008149896958078162,0.0008149896958078162,0.03661236914665893,0.08424841092531454,0.7256772683405226,0.2743227316594774,0.03416666666666666,0.0789686170235453,0.7316156289466418,0.2683843710533582
