Portfolio,ρ,Expected Value,VaR(90%),VaR(99.5%),ES(90%),ES(99.5%)
Portfolio I,0.0,1499.9502114913023,5.884884066540508,33.794512860974464,11.395360362639867,51.327482886682475
Portfolio I,0.33,1499.931535491155,6.762132565301499,31.61495276676324,13.243964232948704,63.62023280019869
Portfolio I,0.66,1499.9387737037614,6.762132565301499,36.09448946128441,13.91990021322014,60.457937978435126
Portfolio I,1.0,1500.0054668950904,-1.4219377892627563,49.9745741533975,0.39944452083795945,65.2162266240392
Portfolio II,0.0,1499.1774749974772,48.468413562296064,290.02970681614056,111.21504867321954,301.39789094670203
Portfolio II,0.33,1498.793202155781,48.468413562296064,307.40917804475635,119.82196566826033,378.07879421188716
Portfolio II,0.66,1498.9121620032602,48.468413562296064,461.37815151639654,130.93732526438995,478.67072538886737
Portfolio II,1.0,1499.6683249242883,48.468413562296064,478.67072538886737,147.56576295680918,478.6707253888673
