Portfolio,ρ,Expected Value,VaR(90%),VaR(99.5%),ES(90%),ES(99.5%)
Portfolio I,0.0,1499.9622920669813,0.796722836247,2.158953160282452,1.266795439743893,2.6641907762188293
Portfolio I,0.33,1499.9408909488604,3.1001985664662306,17.588637736049655,7.500700336713032,26.069206065039523
Portfolio I,0.66,1499.9284118756257,3.4016590818387424,32.76204403943869,11.864281877045254,57.748026393718604
Portfolio I,1.0,1499.8896661305948,-1.421937789262529,49.97457415339795,0.5646016570913476,97.17963064225083
Portfolio II,0.0,1499.9493290693972,6.3536056434353005,13.887679576317629,9.03099643734652,16.114690146111688
Portfolio II,0.33,1499.8143631313633,32.31896216383636,135.4201062553399,66.26693860545694,177.6177636386168
Portfolio II,0.66,1499.8746069685626,38.08943938368297,274.72316160344116,109.55006255555121,338.1811404906231
Portfolio II,1.0,1499.9653284910307,48.46841356229629,478.67072538886725,150.72249800728179,478.6707253888672
